        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-12-09 14:47:29 ,        1350.0   ,           1500.2   ,               65.8   ,        74.5   ,            342   ,          0   ,                        0   ,                   0   ,                    0   ,               15.9   ,                   4.1   ,                 12.4   ,              12.4   ,              16   ,        0.6930   ,               81.0   ,                 13420   ,
2024-12-09 14:47:30 ,        1350.0   ,           1500.2   ,               65.8   ,        74.4   ,            342   ,          0   ,                        0   ,                   0   ,                    0   ,               16.5   ,                   4.5   ,                 13.0   ,              12.4   ,              16   ,        0.6930   ,               82.0   ,                 13427   ,
2024-12-09 14:47:31 ,        1350.0   ,           1500.2   ,               65.8   ,        74.5   ,            342   ,          9   ,                        1   ,                   0   ,                    3   ,               15.9   ,                   4.0   ,                 12.4   ,              12.4   ,              16   ,        0.6930   ,               73.0   ,                 13427   ,
2024-12-09 14:47:32 ,        1350.0   ,           1500.2   ,               65.8   ,        74.6   ,            342   ,          4   ,                        0   ,                   0   ,                    1   ,               16.2   ,                   4.2   ,                 12.7   ,              12.4   ,              16   ,        0.6930   ,               76.0   ,                 13416   ,
2024-12-09 14:47:33 ,        1350.0   ,           1500.2   ,               65.9   ,        74.7   ,            342   ,          8   ,                        1   ,                   0   ,                    3   ,               16.3   ,                   4.3   ,                 12.8   ,              12.4   ,              16   ,        0.6930   ,               81.0   ,                 13407   ,
2024-12-09 14:47:34 ,        1350.0   ,           1500.2   ,               65.7   ,        74.5   ,            342   ,          8   ,                        1   ,                   0   ,                    3   ,               15.8   ,                   3.9   ,                 12.3   ,              12.4   ,              16   ,        0.6930   ,               97.0   ,                 13403   ,
2024-12-09 14:47:35 ,        1350.0   ,           1500.2   ,               66.2   ,        75.0   ,            342   ,          5   ,                        1   ,                   0   ,                    2   ,               16.4   ,                   4.5   ,                 12.9   ,              12.4   ,              16   ,        0.6930   ,               80.0   ,                 13393   ,
2024-12-09 14:47:36 ,        1350.0   ,           1500.2   ,               66.4   ,        75.2   ,            342   ,         11   ,                        1   ,                   0   ,                    4   ,               16.4   ,                   4.4   ,                 12.9   ,              12.4   ,              16   ,        0.6930   ,               85.0   ,                 13391   ,
2024-12-09 14:47:37 ,        1350.0   ,           1500.2   ,               66.4   ,        75.1   ,            342   ,         10   ,                        1   ,                   0   ,                    4   ,               15.8   ,                   3.8   ,                 12.3   ,              12.4   ,              16   ,        0.6930   ,               81.0   ,                 13391   ,
2024-12-09 14:47:38 ,        1350.0   ,           1500.2   ,               66.2   ,        75.0   ,            342   ,          0   ,                        0   ,                   0   ,                    0   ,               15.7   ,                   3.7   ,                 12.2   ,              12.4   ,              16   ,        0.6930   ,               79.0   ,                 13387   ,
