        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-12-09 14:05:16 ,        1350.0   ,           1500.2   ,               68.1   ,        76.9   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               15.9   ,                   4.1   ,                 12.4   ,              12.4   ,              16   ,        0.6930   ,              100.0   ,                 27381   ,
2024-12-09 14:05:17 ,        1350.0   ,           1500.2   ,               68.4   ,        77.2   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.0   ,                   4.2   ,                 12.5   ,              12.4   ,              16   ,        0.6930   ,              100.0   ,                 27384   ,
2024-12-09 14:05:18 ,        1350.0   ,           1500.2   ,               68.7   ,        77.4   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               15.9   ,                   4.3   ,                 12.4   ,              12.4   ,              16   ,        0.6930   ,              100.0   ,                 27386   ,
2024-12-09 14:05:19 ,        1350.0   ,           1500.2   ,               68.8   ,        77.5   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.1   ,                   4.5   ,                 12.6   ,              12.4   ,              16   ,        0.6930   ,               83.0   ,                 27384   ,
2024-12-09 14:05:20 ,        1350.0   ,           1500.2   ,               68.8   ,        77.6   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.1   ,                   4.4   ,                 12.6   ,              12.4   ,              16   ,        0.6930   ,               82.0   ,                 27374   ,
2024-12-09 14:05:21 ,        1350.0   ,           1500.2   ,               68.7   ,        77.5   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.0   ,                   4.3   ,                 12.5   ,              12.4   ,              16   ,        0.6930   ,               83.0   ,                 27375   ,
2024-12-09 14:05:22 ,        1350.0   ,           1500.2   ,               68.3   ,        76.9   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.1   ,                   4.3   ,                 12.6   ,              12.4   ,              16   ,        0.6930   ,               81.0   ,                 27362   ,
2024-12-09 14:05:23 ,        1350.0   ,           1500.2   ,               68.1   ,        76.7   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               15.9   ,                   4.3   ,                 12.4   ,              12.4   ,              16   ,        0.6930   ,              100.0   ,                 27294   ,
2024-12-09 14:05:24 ,        1350.0   ,           1500.2   ,               68.3   ,        77.1   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.0   ,                   4.2   ,                 12.5   ,              12.4   ,              16   ,        0.6930   ,               98.0   ,                 27304   ,
2024-12-09 14:05:25 ,        1350.0   ,           1500.2   ,               68.7   ,        77.3   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.1   ,                   4.3   ,                 12.6   ,              12.4   ,              16   ,        0.6930   ,              100.0   ,                 27316   ,
2024-12-09 14:05:26 ,        1350.0   ,           1500.2   ,               68.8   ,        77.5   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.1   ,                   4.4   ,                 12.6   ,              12.4   ,              16   ,        0.6930   ,              100.0   ,                 27333   ,
2024-12-09 14:05:27 ,        1350.0   ,           1500.2   ,               68.7   ,        77.5   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.1   ,                   4.3   ,                 12.6   ,              12.4   ,              16   ,        0.6930   ,              100.0   ,                 27333   ,
2024-12-09 14:05:28 ,        1350.0   ,           1500.2   ,               68.7   ,        77.4   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.0   ,                   4.3   ,                 12.5   ,              12.4   ,              16   ,        0.6930   ,               89.0   ,                 27357   ,
2024-12-09 14:05:29 ,        1350.0   ,           1500.2   ,               68.8   ,        77.5   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.0   ,                   4.3   ,                 12.5   ,              12.4   ,              16   ,        0.6930   ,               98.0   ,                 27385   ,
2024-12-09 14:05:30 ,        1350.0   ,           1500.2   ,               68.8   ,        77.5   ,            186   ,          0   ,                        0   ,                   0   ,                    0   ,               16.0   ,                   4.3   ,                 12.5   ,              12.4   ,              16   ,        0.6930   ,              100.0   ,                 27401   ,
        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-12-09 14:21:12 ,        1350.0   ,           1500.2   ,               74.9   ,        83.3   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               29.7   ,                  16.5   ,                 26.2   ,              12.4   ,               2   ,        0.6930   ,               96.0   ,                 13780   ,
2024-12-09 14:21:14 ,        1350.0   ,           1500.2   ,               74.1   ,        82.7   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               23.2   ,                   9.9   ,                 19.7   ,              12.5   ,               2   ,        0.6930   ,               88.0   ,                 13788   ,
2024-12-09 14:21:15 ,        1485.0   ,           1500.2   ,               74.1   ,        82.6   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               23.2   ,                   9.9   ,                 19.7   ,              12.5   ,               2   ,        0.7430   ,               84.0   ,                 13788   ,
2024-12-09 14:21:16 ,        1575.0   ,           1500.2   ,               74.8   ,        83.4   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               29.2   ,                  14.5   ,                 25.7   ,              12.5   ,               2   ,        0.7870   ,               83.0   ,                 13785   ,
2024-12-09 14:21:17 ,        1590.0   ,           1500.2   ,               75.1   ,        83.6   ,           3497   ,        100   ,                        6   ,                   0   ,                    0   ,               27.9   ,                  14.8   ,                 24.4   ,              12.5   ,               2   ,        0.7930   ,               86.0   ,                 13778   ,
2024-12-09 14:21:18 ,        1515.0   ,           1500.2   ,               74.3   ,        82.8   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               25.5   ,                  12.4   ,                 22.0   ,              12.4   ,               2   ,        0.7620   ,               83.0   ,                 13766   ,
2024-12-09 14:21:19 ,        1515.0   ,           1500.2   ,               74.3   ,        83.0   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               26.0   ,                  13.0   ,                 22.5   ,              12.4   ,               2   ,        0.7620   ,               85.0   ,                 13755   ,
2024-12-09 14:21:20 ,        1515.0   ,           1500.2   ,               74.3   ,        83.0   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               25.9   ,                  12.9   ,                 22.4   ,              12.4   ,               2   ,        0.7620   ,               87.0   ,                 13758   ,
2024-12-09 14:21:21 ,        1515.0   ,           1500.2   ,               74.1   ,        82.7   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               25.9   ,                  13.0   ,                 22.4   ,              12.4   ,               2   ,        0.7620   ,               85.0   ,                 13753   ,
2024-12-09 14:21:22 ,        1710.0   ,           1500.2   ,               74.9   ,        83.7   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               31.7   ,                  18.5   ,                 28.2   ,              12.4   ,               2   ,        0.8620   ,               82.0   ,                 13756   ,
2024-12-09 14:21:23 ,        1680.0   ,           1500.2   ,               74.8   ,        83.4   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               30.3   ,                  17.2   ,                 26.8   ,              12.4   ,               2   ,        0.8430   ,               84.0   ,                 13755   ,
2024-12-09 14:21:24 ,        1680.0   ,           1500.2   ,               74.9   ,        83.8   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               30.3   ,                  17.3   ,                 26.8   ,              12.4   ,               2   ,        0.8430   ,               86.0   ,                 13755   ,
2024-12-09 14:21:25 ,        1380.0   ,           1500.2   ,               74.3   ,        82.8   ,           3497   ,        100   ,                        5   ,                   0   ,                    0   ,               26.3   ,                  13.1   ,                 22.8   ,              12.4   ,               2   ,        0.7060   ,               84.0   ,                 13769   ,
2024-12-09 14:21:26 ,        1620.0   ,           1500.2   ,               74.5   ,        83.2   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               28.7   ,                  15.9   ,                 25.2   ,              12.4   ,               2   ,        0.8120   ,              100.0   ,                 13771   ,
2024-12-09 14:21:27 ,        1635.0   ,           1500.2   ,               74.7   ,        83.2   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               29.0   ,                  15.9   ,                 25.5   ,              12.4   ,               2   ,        0.8180   ,               76.0   ,                 13771   ,
2024-12-09 14:21:28 ,        1635.0   ,           1500.2   ,               74.7   ,        83.4   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               28.8   ,                  15.8   ,                 25.3   ,              12.4   ,               2   ,        0.8180   ,               84.0   ,                 13771   ,
2024-12-09 14:21:29 ,        1620.0   ,           1500.2   ,               74.6   ,        83.2   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               28.6   ,                  15.8   ,                 25.1   ,              12.5   ,               2   ,        0.8180   ,               89.0   ,                 13770   ,
2024-12-09 14:21:30 ,        1620.0   ,           1500.2   ,               74.7   ,        83.3   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               28.9   ,                  16.1   ,                 25.4   ,              12.4   ,               2   ,        0.8120   ,               82.0   ,                 13772   ,
2024-12-09 14:21:31 ,        1635.0   ,           1500.2   ,               74.7   ,        83.4   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               28.6   ,                  15.9   ,                 25.1   ,              12.5   ,               2   ,        0.8180   ,               85.0   ,                 13772   ,
2024-12-09 14:21:32 ,        1620.0   ,           1500.2   ,               74.6   ,        83.2   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               29.0   ,                  15.9   ,                 25.5   ,              12.4   ,               2   ,        0.8120   ,               85.0   ,                 13772   ,
2024-12-09 14:21:33 ,        1635.0   ,           1500.2   ,               74.7   ,        83.2   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               29.0   ,                  15.8   ,                 25.5   ,              12.4   ,               2   ,        0.8180   ,               82.0   ,                 13773   ,
2024-12-09 14:21:34 ,        1620.0   ,           1500.2   ,               74.5   ,        83.2   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               28.9   ,                  15.9   ,                 25.4   ,              12.4   ,               2   ,        0.8180   ,               86.0   ,                 13772   ,
2024-12-09 14:21:35 ,        1635.0   ,           1500.2   ,               74.6   ,        83.4   ,           3497   ,        100   ,                        4   ,                   0   ,                    0   ,               29.2   ,                  16.0   ,                 25.7   ,              12.4   ,               2   ,        0.8180   ,               86.0   ,                 13773   ,
2024-12-09 14:21:36 ,        1635.0   ,           1500.2   ,               74.5   ,        83.2   ,           3497   ,        100   ,                        5   ,                   0   ,                    0   ,               29.1   ,                  15.9   ,                 25.6   ,              12.4   ,               2   ,        0.8180   ,               89.0   ,                 13770   ,
